Frame,Link,Parent,X_Position,Y_Position,Z_Position,X_Rotation,Y_Rotation,Z_Rotation,Y_Velocity,X_Velocity,Z_Velocity
91,LinkN6,LinkN5,-4.44E-17,-0.06264998019,1.180000067,0,0.06417999417,0,0,0,0
91,LinkN6.002,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,0,0,0,0
91,LinkN7,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,1.397126913,0,0,0
92,LinkN0,Robot KUKA LBR Iiwa14,0,0,0,0,0,0,0,0,0
92,LinkN0-Axis,LinkN0,-3.49E-08,0,0.1575000286,0,0,0,0,0,0
92,LinkN1,LinkN0,-3.49E-08,0,0.1575000435,0,0,0,0,0,0
92,LinkN1-Axis,LinkN1,-1.55E-09,4.27E-08,0.3600671887,0,0,0,0,0,0
92,LinkN2,LinkN1,-1.55E-09,-7.72E-05,0.3600672483,0,-0.03065986,0,0,0,0
92,LinkN2-Axis,LinkN2,-1.55E-09,9.60E-09,0.5645002127,0,0,0,0,0,0
92,LinkN3,LinkN2,-1.55E-09,9.60E-09,0.5645001531,0,0,0,0,0,0
92,LinkN3_Axis,LinkN3,-2.22E-16,0.0005000001984,0.780092299,0,0,0,0,0,0
92,LinkN4,LinkN3,-8.56E-17,-0.0002424090198,0.7800923586,0,-0.01139608864,0,0,0,0
92,LinkN4_Axis,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
92,LinkN5,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
92,LinkN5_Axis,LinkN5,-8.56E-17,-0.06264996529,1.17999959,0,0,0,0,0,0
92,LinkN6,LinkN5,-4.44E-17,-0.06264998019,1.180000067,0,0.06417999417,0,0,0,0
92,LinkN6.002,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,0,0,0,0
92,LinkN7,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,1.397126913,0,0,0
93,LinkN0,Robot KUKA LBR Iiwa14,0,0,0,0,0,0,0,0,0
93,LinkN0-Axis,LinkN0,-3.49E-08,0,0.1575000286,0,0,0,0,0,0
93,LinkN1,LinkN0,-3.49E-08,0,0.1575000435,0,0,0,0,0,0
93,LinkN1-Axis,LinkN1,-1.55E-09,4.27E-08,0.3600671887,0,0,0,0,0,0
93,LinkN2,LinkN1,-1.55E-09,-7.72E-05,0.3600672483,0,-0.03065986,0,0,0,0
93,LinkN2-Axis,LinkN2,-1.55E-09,9.60E-09,0.5645002127,0,0,0,0,0,0
93,LinkN3,LinkN2,-1.55E-09,9.60E-09,0.5645001531,0,0,0,0,0,0
93,LinkN3_Axis,LinkN3,-2.22E-16,0.0005000001984,0.780092299,0,0,0,0,0,0
93,LinkN4,LinkN3,-8.56E-17,-0.0002424090198,0.7800923586,0,-0.01139608864,0,0,0,0
93,LinkN4_Axis,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
93,LinkN5,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
93,LinkN5_Axis,LinkN5,-8.56E-17,-0.06264996529,1.17999959,0,0,0,0,0,0
93,LinkN6,LinkN5,-4.44E-17,-0.06264998019,1.180000067,0,0.06417999417,0,0,0,0
93,LinkN6.002,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,0,0,0,0
93,LinkN7,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,1.397126913,0,0,0
94,LinkN0,Robot KUKA LBR Iiwa14,0,0,0,0,0,0,0,0,0
94,LinkN0-Axis,LinkN0,-3.49E-08,0,0.1575000286,0,0,0,0,0,0
94,LinkN1,LinkN0,-3.49E-08,0,0.1575000435,0,0,0,0,0,0
94,LinkN1-Axis,LinkN1,-1.55E-09,4.27E-08,0.3600671887,0,0,0,0,0,0
94,LinkN2,LinkN1,-1.55E-09,-7.72E-05,0.3600672483,0,-0.03065986,0,0,0,0
94,LinkN2-Axis,LinkN2,-1.55E-09,9.60E-09,0.5645002127,0,0,0,0,0,0
94,LinkN3,LinkN2,-1.55E-09,9.60E-09,0.5645001531,0,0,0,0,0,0
94,LinkN3_Axis,LinkN3,-2.22E-16,0.0005000001984,0.780092299,0,0,0,0,0,0
94,LinkN4,LinkN3,-8.56E-17,-0.0002424090198,0.7800923586,0,-0.01139608864,0,0,0,0
94,LinkN4_Axis,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
94,LinkN5,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
94,LinkN5_Axis,LinkN5,-8.56E-17,-0.06264996529,1.17999959,0,0,0,0,0,0
94,LinkN6,LinkN5,-4.44E-17,-0.06264998019,1.180000067,0,0.06417999417,0,0,0,0
94,LinkN6.002,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,0,0,0,0
94,LinkN7,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,1.397126913,0,0,0
95,LinkN0,Robot KUKA LBR Iiwa14,0,0,0,0,0,0,0,0,0
95,LinkN0-Axis,LinkN0,-3.49E-08,0,0.1575000286,0,0,0,0,0,0
95,LinkN1,LinkN0,-3.49E-08,0,0.1575000435,0,0,0,0,0,0
95,LinkN1-Axis,LinkN1,-1.55E-09,4.27E-08,0.3600671887,0,0,0,0,0,0
95,LinkN2,LinkN1,-1.55E-09,-7.72E-05,0.3600672483,0,-0.03065986,0,0,0,0
95,LinkN2-Axis,LinkN2,-1.55E-09,9.60E-09,0.5645002127,0,0,0,0,0,0
95,LinkN3,LinkN2,-1.55E-09,9.60E-09,0.5645001531,0,0,0,0,0,0
95,LinkN3_Axis,LinkN3,-2.22E-16,0.0005000001984,0.780092299,0,0,0,0,0,0
95,LinkN4,LinkN3,-8.56E-17,-0.0002424090198,0.7800923586,0,-0.01139608864,0,0,0,0
95,LinkN4_Axis,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
95,LinkN5,LinkN4,-8.56E-17,1.83E-08,0.9975202084,0,0,0,0,0,0
95,LinkN5_Axis,LinkN5,-8.56E-17,-0.06264996529,1.17999959,0,0,0,0,0,0
95,LinkN6,LinkN5,-4.44E-17,-0.06264998019,1.180000067,0,0.06417999417,0,0,0,0
95,LinkN6.002,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,0,0,0,0
95,LinkN7,LinkN6,-8.56E-17,1.83E-08,1.260900617,0,0,1.397126913,0,0,0
